TABLE_NAME,COLUMN_NAME,DATA_TYPE,DESCRIPTION
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_BILIRUBIN_TOTAL_MG_DL,,Measure from CMP on serum sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_BUN_CREATININE_RATIO,,Measure from CMP on Serum Sample. Quest Diagnostics. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_BUN_MG_DL,,Measure from CMP on Serum Sample. Quest Diagnostics. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_CALCIUM_MG_DL,,Measure from CMP on serum sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_CHLORIDE_MMOL_L,,Measure from CMP on serum sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_CO2_MMOL_L,,Measure from CMP on Serum Sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_COMPLETION_STATUS,,"Completion status of blood draw. (Pass, Fail but Proceed, Fail). Fail but proceed indicates one aspect of the collection was incomplete or abnormal."
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_CREATININE_MG_DL,,Measure from CMP on Serum Sample. Quest Diagnostics. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_DAYS_SINCE_ONSET,,Days since onset of participant's symptoms
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_DAYS_SINCE_SIGN_UP,,Days since sign up in ARC
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_EGFR_ML_MIN_1_3_SQ_M,,Measure from CMP on Serum Sample. Quest Diagnostics. 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_EOSINOPHILS,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_EOSINOPHILS_ABS_10_3_MM3,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_EVENT_ID,,back end ID of the appointment 
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_GLOBULIN_G_DL,,Measure from CMP on serum sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_GLUCOSE_MG_DL,,Measure from CMP on serum sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_HEMATOCRIT,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_HEMOGLOBIN,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_IMM_GRANS,,Measure from CBC on whole blood sample. Boston Clin Labs
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_IMM_GRANS_ABS_10_3_MM3,,Measure from CBC on whole blood sample. Boston Clin Labs
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_LYMPHOCYTES,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_LYMPHOCYTES_ABS_10_3_MM3,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_MCHC,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_MCH_PG,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_MCV_FL,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_MEAN_PLATELET_VOLUME_FL,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_MONOCYTES,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_MONOCYTES_ABS_10_3_MM3,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_NEUTROPHILS,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_NEUTROPHILS_ABS_10_3_MM3,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_NUCLEATED_RBC_100_WBC,,Measure from CBC on whole blood sample. Quest Diagnostics.
BLOOD_DRAW_DATA,BLOOD_DRAW_DATA_NUCLEATED_RBC_ABS_10_3_MM3,,Measure from CBC on whole blood sample. Quest Diagnostics.
